id,domain,status,purchase_price,renewal_price,attractiveness,demand,length,registrar,created_at,expires_at,status_verified_at
d481059e-038f-41b4-b93c-0ce286f82d82,drink.organic,available,17.99,85.99,high,low,5,namesilo,,,04/09/2026 13:20
054997d1-3ad1-4a92-88b6-58734df5a7ad,drink.restaurant,available,11.98,81.98,high,low,5,namecheap,,,04/09/2026 13:20
6cc85674-db9e-4fe9-ad91-2cd846cfaf1a,drink.rest,premium,409.5,585,high,low,5,namecheap,,,04/09/2026 13:20
4af820a1-c147-4318-9895-65fbc878b704,drink.menu,available,,,high,low,5,,,,
189be06d-0c88-4f41-9d6b-50e0734d01ab,drink.bar,premium,2047.5,2925,high,low,5,namecheap,,,04/09/2026 13:20
00283a53-f7a0-4148-95c5-3ba3ec03dc93,drink.food,premium,910,1300,high,low,5,namecheap,,,04/09/2026 13:20
defb06b7-2f0b-497a-a851-0a1d2af50889,drink.cat,available,26.98,38.98,high,low,5,namecheap,,,04/09/2026 13:20
bf31f95f-7834-49e1-a23e-1df687a4ba85,drink.beer,premium,2600,32.5,high,low,5,namecheap,,,04/09/2026 13:20
893bda8a-0dac-4573-babe-b2377b4e5a16,drink.cooking,premium,47.2,29.5,high,low,5,namesilo,,,04/09/2026 13:20
2db6690b-f161-4cb8-b8a0-d8af768c0dea,drink.vin,premium,242,242,high,low,5,namesilo,,,04/09/2026 13:20
dfca44cc-1fd6-4e15-89d5-ac9afffe43ce,beverage.so,available,68.98,,high,high,8,namecheap,,,
433a5ded-7e38-4d57-a21f-32a185240112,drink.vodka,resell,,,high,low,5,"NameCheap, Inc.",06/05/2021 21:11,06/05/2027 21:11,04/09/2026 13:20
2b67abe9-4187-4f04-a308-58d84572c3b8,drink.recipes,premium,242,242,high,low,5,namesilo,,,04/09/2026 13:20
dfeb8ab8-575f-4c25-8605-712eba5e9eea,dining.ryukyu,available,22.98,,high,low,6,namecheap,,,
de7efea5-435d-409e-813e-6ce6f9617f91,cooking.eu,premium,20786.79,,high,low,7,Name: Realtime Register B.V. Website: https://www.realtimeregister.com,,,
05602bd5-8891-4f87-b95c-7ea53ee1ce3c,cook.clinic,resell,,,high,low,4,Dynadot Inc,28/05/2026 19:23,28/05/2027 19:23,24/09/2026 08:03
2b301ab4-196f-477a-b454-8fbabe0adac8,bar.solutions,premium,242,242,high,low,3,namesilo,,,24/09/2026 07:01
00fec592-73f8-469d-87a6-8366b7b54d5a,drink.catering,available,38.99,38.99,high,low,5,namesilo,,,04/09/2026 13:20
1a8e2adb-ff6a-44cb-a418-642df4d014b1,kitchen.ryukyu,available,22.98,,high,low,7,namecheap,,,
04b25037-a96f-483a-b1fc-1cdd3006a332,cooking.irish,available,5.98,31.98,high,low,7,namecheap,,,08/09/2026 08:19
ce9790f0-8e05-4d0c-ae4a-89d87247137e,bar.agency,premium,78.54,78.54,high,low,3,namesilo,,,24/09/2026 08:25
55e62a08-60f5-4583-ab20-5749d21b6a66,drink.store,premium,1625,6500,high,low,5,namecheap,,,04/09/2026 13:20
